Country_Country_Afghanistan,Country_Country_Albania,Country_Country_Andorra,Country_Country_Angola,Country_Country_Antarctica (the territory South of 60 deg S),Country_Country_Antigua and Barbuda,Country_Country_Argentina,Country_Country_Armenia,Country_Country_Aruba,Country_Country_Australia,Country_Country_Austria,Country_Country_Bahamas,Country_Country_Bahrain,Country_Country_Bangladesh,Country_Country_Barbados,Country_Country_Belgium,Country_Country_Belize,Country_Country_Benin,Country_Country_Bermuda,Country_Country_Bhutan,Country_Country_Bolivia,Country_Country_Bosnia and Herzegovina,Country_Country_Botswana,Country_Country_Bouvet Island (Bouvetoya),Country_Country_British Indian Ocean Territory (Chagos Archipelago),Country_Country_British Virgin Islands,Country_Country_Brunei Darussalam,Country_Country_Bulgaria,Country_Country_Burundi,Country_Country_Cambodia,Country_Country_Cape Verde,Country_Country_Central African Republic,Country_Country_Chad,Country_Country_Chile,Country_Country_China,Country_Country_Christmas Island,Country_Country_Colombia,Country_Country_Congo,Country_Country_Cook Islands,Country_Country_Costa Rica,Country_Country_Cote d'Ivoire,Country_Country_Croatia,Country_Country_Cuba,Country_Country_Cyprus,Country_Country_Czech Republic,Country_Country_Denmark,Country_Country_Djibouti,Country_Country_Dominica,Country_Country_Dominican Republic,Country_Country_Ecuador,Country_Country_Egypt,Country_Country_El Salvador,Country_Country_Equatorial Guinea,Country_Country_Eritrea,Country_Country_Estonia,Country_Country_Falkland Islands (Malvinas),Country_Country_Faroe Islands,Country_Country_Fiji,Country_Country_Finland,Country_Country_France,Country_Country_French Guiana,Country_Country_French Southern Territories,Country_Country_Gambia,Country_Country_Georgia,Country_Country_Germany,Country_Country_Ghana,Country_Country_Gibraltar,Country_Country_Greece,Country_Country_Grenada,Country_Country_Guernsey,Country_Country_Guinea-Bissau,Country_Country_Guyana,Country_Country_Haiti,Country_Country_Heard Island and McDonald Islands,Country_Country_Holy See (Vatican City State),Country_Country_Honduras,Country_Country_Hong Kong,Country_Country_Hungary,Country_Country_India,Country_Country_Indonesia,Country_Country_Iran,Country_Country_Israel,Country_Country_Italy,Country_Country_Japan,Country_Country_Jordan,Country_Country_Kazakhstan,Country_Country_Kenya,Country_Country_Kiribati,Country_Country_Korea,Country_Country_Kuwait,Country_Country_Kyrgyz Republic,Country_Country_Lao People's Democratic Republic,Country_Country_Latvia,Country_Country_Lebanon,Country_Country_Liberia,Country_Country_Libyan Arab Jamahiriya,Country_Country_Lithuania,Country_Country_Luxembourg,Country_Country_Macao,Country_Country_Macedonia,Country_Country_Madagascar,Country_Country_Malawi,Country_Country_Malaysia,Country_Country_Maldives,Country_Country_Mali,Country_Country_Malta,Country_Country_Martinique,Country_Country_Mauritania,Country_Country_Mayotte,Country_Country_Mexico,Country_Country_Micronesia,Country_Country_Moldova,Country_Country_Montenegro,Country_Country_Morocco,Country_Country_Mozambique,Country_Country_Nepal,Country_Country_Netherlands,Country_Country_Netherlands Antilles,Country_Country_New Caledonia,Country_Country_Nicaragua,Country_Country_Niger,Country_Country_Nigeria,Country_Country_Norfolk Island,Country_Country_Northern Mariana Islands,Country_Country_Norway,Country_Country_Oman,Country_Country_Pakistan,Country_Country_Palestinian Territory,Country_Country_Panama,Country_Country_Papua New Guinea,Country_Country_Paraguay,Country_Country_Peru,Country_Country_Philippines,Country_Country_Pitcairn Islands,Country_Country_Portugal,Country_Country_Puerto Rico,Country_Country_Romania,Country_Country_Rwanda,Country_Country_Saint Barthelemy,Country_Country_Saint Helena,Country_Country_Saint Kitts and Nevis,Country_Country_Saint Lucia,Country_Country_Saint Pierre and Miquelon,Country_Country_Saint Vincent and the Grenadines,Country_Country_San Marino,Country_Country_Senegal,Country_Country_Sierra Leone,Country_Country_Singapore,Country_Country_Slovenia,Country_Country_Solomon Islands,Country_Country_South Africa,Country_Country_South Georgia and the South Sandwich Islands,Country_Country_Spain,Country_Country_Sri Lanka,Country_Country_Sudan,Country_Country_Suriname,Country_Country_Swaziland,Country_Country_Sweden,Country_Country_Switzerland,Country_Country_Taiwan,Country_Country_Tajikistan,Country_Country_Thailand,Country_Country_Togo,Country_Country_Tokelau,Country_Country_Tunisia,Country_Country_Ukraine,Country_Country_United Arab Emirates,Country_Country_United Kingdom,Country_Country_United States Minor Outlying Islands,Country_Country_United States Virgin Islands,Country_Country_Vanuatu,Country_Country_Vietnam,Country_Country_Western Sahara,Country_Country_Zambia,Country_Country_Zimbabwe,Air_Severity_Air_High,Air_Severity_Air_Low,Air_Severity_Air_Medium,Water_Severity_Water_Low,Water_Severity_Water_Medium,Soil_Severity_Soil_Low,Soil_Severity_Soil_Medium,Overall_Severity_Overall_Low,Overall_Severity_Overall_Medium,Energy_Recovery_Level_High_Recovery,Energy_Recovery_Level_Low_Recovery,Energy_Recovery_Level_Medium_Recovery,Energy_Consumption_Level_High_Consumption,Energy_Consumption_Level_Low_Consumption,Energy_Consumption_Level_Medium_Consumption
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,True,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False
