antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Water_Severity_Water_Low, Air_Severity_Air_Low",Overall_Severity_Overall_Low,0.06,0.21,0.06,1.0,4.761904761904762,1.0,0.0474,inf,0.8404255319148937,0.2857142857142857,1.0,0.6428571428571428
"Soil_Severity_Soil_Low, Air_Severity_Air_Low",Overall_Severity_Overall_Low,0.105,0.21,0.075,0.7142857142857143,3.4013605442176873,1.0,0.05295,2.765,0.788826815642458,0.3125,0.6383363471971067,0.5357142857142857
"Air_Severity_Air_Medium, Water_Severity_Water_Low, Soil_Severity_Soil_Low",Overall_Severity_Overall_Low,0.135,0.21,0.09,0.6666666666666666,3.1746031746031744,1.0,0.061649999999999996,2.3699999999999997,0.7919075144508669,0.3529411764705882,0.5780590717299577,0.5476190476190476
Overall_Severity_Overall_Low,"Air_Severity_Air_Medium, Water_Severity_Water_Low, Soil_Severity_Soil_Low",0.21,0.135,0.09,0.42857142857142855,3.1746031746031744,1.0,0.061649999999999996,1.5137500000000002,0.8670886075949367,0.3529411764705882,0.33938893476465726,0.5476190476190476
Air_Severity_Air_Low,Overall_Severity_Overall_Low,0.145,0.21,0.095,0.6551724137931035,3.119868637110017,1.0,0.06455,2.291000000000001,0.7947060634041242,0.36538461538461536,0.5635093845482323,0.553776683087028
Overall_Severity_Overall_Low,Air_Severity_Air_Low,0.21,0.145,0.095,0.4523809523809524,3.1198686371100166,1.0,0.06455,1.5613043478260868,0.8600932711525648,0.36538461538461536,0.35950988582567533,0.553776683087028
"Air_Severity_Air_Medium, Overall_Severity_Overall_Low","Water_Severity_Water_Low, Soil_Severity_Soil_Low",0.11,0.275,0.09,0.8181818181818181,2.9752066115702474,1.0,0.05975,3.9874999999999985,0.7459425717852683,0.30508474576271183,0.7492163009404388,0.5727272727272726
"Energy_Consumption_Level_High_Consumption, Soil_Severity_Soil_Low, Water_Severity_Water_Low",Overall_Severity_Overall_Low,0.1,0.21,0.06,0.6,2.857142857142857,1.0,0.03899999999999999,1.975,0.7222222222222221,0.24,0.4936708860759494,0.44285714285714284
Air_Severity_Air_Low,"Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",0.145,0.19,0.075,0.5172413793103449,2.722323049001815,1.0,0.04745,1.6778571428571432,0.7399610136452242,0.2884615384615385,0.4040017028522776,0.455989110707804
Air_Severity_Air_Low,"Water_Severity_Water_Low, Overall_Severity_Overall_Low",0.145,0.155,0.06,0.41379310344827586,2.6696329254727473,1.0,0.037525,1.4414705882352938,0.7314814814814815,0.25,0.30626402774943895,0.40044493882091214
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption",0.07,0.27,0.05,0.7142857142857143,2.6455026455026456,1.0,0.0311,2.555,0.6688172043010753,0.17241379310344826,0.6086105675146771,0.44973544973544977
"Energy_Recovery_Level_High_Recovery, Overall_Severity_Overall_Low","Water_Severity_Water_Low, Soil_Severity_Soil_Low",0.07,0.275,0.05,0.7142857142857143,2.5974025974025974,1.0,0.03075,2.5375,0.6612903225806451,0.1694915254237288,0.6059113300492611,0.44805194805194803
"Energy_Consumption_Level_High_Consumption, Overall_Severity_Overall_Low","Water_Severity_Water_Low, Soil_Severity_Soil_Low",0.085,0.275,0.06,0.7058823529411764,2.566844919786096,1.0,0.03662499999999999,2.4649999999999994,0.6671220400728596,0.19999999999999996,0.5943204868154157,0.4620320855614973
"Air_Severity_Air_Medium, Water_Severity_Water_Low","Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",0.185,0.19,0.09,0.48648648648648646,2.5604551920341394,1.0,0.054849999999999996,1.5773684210526315,0.7477845944103613,0.31578947368421045,0.3660326993660326,0.4800853485064011
"Soil_Severity_Soil_Low, Overall_Severity_Overall_Low","Air_Severity_Air_Medium, Water_Severity_Water_Low",0.19,0.185,0.09,0.47368421052631576,2.5604551920341394,1.0,0.054849999999999996,1.5484999999999998,0.7524005486968449,0.31578947368421045,0.3542137552470132,0.4800853485064011
"Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Low","Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",0.13,0.19,0.06,0.4615384615384615,2.42914979757085,1.0,0.0353,1.5042857142857142,0.6762452107279694,0.23076923076923075,0.3352326685660018,0.38866396761133604
"Water_Severity_Water_Low, Soil_Severity_Soil_Low",Overall_Severity_Overall_Low,0.275,0.21,0.14,0.5090909090909091,2.4242424242424248,1.0,0.08225000000000002,1.6092592592592596,0.810344827586207,0.40579710144927544,0.37859608745684703,0.5878787878787879
Overall_Severity_Overall_Low,"Water_Severity_Water_Low, Soil_Severity_Soil_Low",0.21,0.275,0.14,0.6666666666666667,2.4242424242424243,1.0,0.08225000000000002,2.1750000000000003,0.7436708860759494,0.40579710144927544,0.5402298850574714,0.5878787878787879
"Energy_Recovery_Level_Low_Recovery, Overall_Severity_Overall_Low","Water_Severity_Water_Low, Soil_Severity_Soil_Low",0.075,0.275,0.05,0.6666666666666667,2.4242424242424243,1.0,0.029375000000000002,2.1750000000000003,0.6351351351351351,0.16666666666666666,0.5402298850574714,0.4242424242424243
