Country,Year,Air_Pollution_Index,Water_Pollution_Index,Soil_Pollution_Index,Industrial_Waste (in tons),Energy_Recovered (in GWh),CO2_Emissions (in MT),Renewable_Energy (%),Plastic_Waste_Produced (in tons),Energy_Consumption_Per_Capita (in MWh),Population (in millions),GDP_Per_Capita (in USD),Energy_Recovered_Per_Capita,Average_Pollution_Index,Energy_Efficiency_Score,Air_Severity,Water_Severity,Soil_Severity,Overall_Severity,Energy_Recovery_Level,Energy_Consumption_Level
Hungary,2005,272.7,124.27,51.95,94802.83,158.14,5.3,41.11,37078.88,12.56,42.22,20972.96,3.7456181904310752,149.64,11.662241887905603,High,Medium,Low,Medium,Low_Recovery,High_Consumption
Singapore,2001,86.72,60.34,117.22,56283.92,498.04,6.34,36.44,33128.2,5.23,137.25,34850.41,3.628706739526412,88.09333333333332,79.9422150882825,Low,Low,Medium,Low,High_Recovery,Low_Consumption
Romania,2016,91.59,83.36,121.72,56256.02,489.51,49.69,9.38,18803.46,13.15,124.47,57773.15,3.932754880694143,98.88999999999999,34.59434628975265,Low,Low,Medium,Low,High_Recovery,High_Consumption
Cook Islands,2018,280.61,67.16,93.58,74864.73,145.18,8.91,18.97,9182.27,0.78,67.8,21837.51,2.141297935103245,147.11666666666665,81.56179775280899,High,Low,Low,Medium,Low_Recovery,Low_Consumption
Djibouti,2008,179.16,127.53,121.55,76862.06,40.38,14.93,34.0,39235.12,12.84,186.52,41379.37,0.216491529058546,142.74666666666667,2.9176300578034686,Medium,Medium,Medium,Medium,Low_Recovery,High_Consumption
Croatia,2009,151.36,61.07,86.75,58079.8,136.26,33.39,39.49,12191.7,18.14,103.43,35092.93,1.3174127429179152,99.72666666666667,7.119122257053291,Medium,Low,Low,Low,Low_Recovery,High_Consumption
Congo,2008,292.31,156.85,36.4,67774.76,199.71,35.29,26.17,9450.05,16.5,182.09,52050.07,1.0967653358229448,161.85333333333332,11.412,High,Medium,Low,Medium,Medium_Recovery,High_Consumption
Central African Republic,2006,209.41,188.14,133.5,70552.49,499.98,29.04,47.64,26605.75,2.4,73.43,16491.9,6.808933678333106,177.01666666666665,147.0529411764706,High,Medium,Medium,Medium,High_Recovery,Low_Consumption
Swaziland,2007,269.63,62.33,71.19,43280.42,495.28,28.55,11.47,2137.98,12.42,11.26,55594.15,43.98579040852575,134.38333333333333,36.906110283159464,High,Low,Low,Medium,High_Recovery,High_Consumption
Sri Lanka,2002,231.99,155.31,44.99,11306.14,472.63,48.35,45.31,49211.55,16.79,77.21,11627.65,6.121357337132496,144.09666666666666,26.56717256885891,High,Medium,Low,Medium,High_Recovery,High_Consumption
Macedonia,2000,255.33,69.93,110.09,79453.7,475.07,37.72,16.61,48383.61,1.75,93.61,21711.69,5.074991988035467,145.11666666666667,172.75272727272727,High,Low,Medium,Medium,High_Recovery,Low_Consumption
Ukraine,2014,286.81,71.15,100.44,55446.58,120.54,18.65,21.36,29979.43,16.44,9.13,45198.31,13.2026286966046,152.8,6.911697247706422,High,Low,Medium,Medium,Low_Recovery,High_Consumption
Northern Mariana Islands,2001,104.15,75.12,125.98,50964.59,177.48,2.76,13.25,41175.33,2.73,73.92,44922.7,2.4009740259740258,101.75,47.58176943699732,Medium,Low,Medium,Medium,Medium_Recovery,Low_Consumption
Madagascar,2014,201.63,68.97,40.88,66095.66,202.49,38.66,46.28,41961.9,12.1,129.99,9568.21,1.5577352104008,103.82666666666667,15.457251908396948,High,Low,Low,Medium,Medium_Recovery,Medium_Consumption
