Country,Year,Air_Pollution_Index,Water_Pollution_Index,Soil_Pollution_Index,Industrial_Waste (in tons),Energy_Recovered (in GWh),CO2_Emissions (in MT),Renewable_Energy (%),Plastic_Waste_Produced (in tons),Energy_Consumption_Per_Capita (in MWh),Population (in millions),GDP_Per_Capita (in USD),Energy_Recovered_Per_Capita,Average_Pollution_Index,Energy_Efficiency_Score,Air_Severity,Water_Severity,Soil_Severity,Overall_Severity,Energy_Recovery_Level,Energy_Consumption_Level
Hungary,2005,0.8980415909549768,0.5537784648314407,0.2954808806488992,94802.83,158.14,5.3,41.11,37078.88,12.56,42.22,20972.96,0.04541421765005695,0.7411816273329179,0.040608914100291556,High,Medium,Low,Medium,Low_Recovery,High_Consumption
Singapore,2001,0.1470623864324652,0.17367263214222012,0.7681778679026651,56283.92,498.04,6.34,36.44,33128.2,5.23,137.25,34850.41,0.04396618543634218,0.3152236602302349,0.2949788293767323,Low,Low,Medium,Low,High_Recovery,Low_Consumption
Romania,2016,0.16672723601857467,0.310541649325168,0.8007676709154113,56256.02,489.51,49.69,9.38,18803.46,13.15,124.47,57773.15,0.047732039846018384,0.3899462477218722,0.12604007612916196,Low,Low,Medium,Low,High_Recovery,High_Consumption
Cook Islands,2018,0.929981829194428,0.21422201082109515,0.5969727694090382,74864.73,145.18,8.91,18.97,9182.27,0.78,67.8,21837.51,0.025543560046772246,0.7237179043532422,0.3010124155931446,High,Low,Low,Medium,Low_Recovery,Low_Consumption
Djibouti,2008,0.5203311124570968,0.5731613056662108,0.7995365005793743,76862.06,40.38,14.93,34.0,39235.12,12.84,186.52,41379.37,0.0017034514898260006,0.6934735967887051,0.008031775210375243,Medium,Medium,Medium,Medium,Low_Recovery,High_Consumption
Croatia,2009,0.40807591358772477,0.17801296153160118,0.5475086906141368,58079.8,136.26,33.39,39.49,12191.7,18.14,103.43,35092.93,0.015339150731385412,0.39573672918541075,0.02368399598119278,Medium,Low,Low,Low,Low_Recovery,High_Consumption
Congo,2008,0.9772259236826168,0.7474879600451869,0.18286500579374274,67774.76,199.71,35.29,26.17,9450.05,16.5,182.09,52050.07,0.012606274260570793,0.8257088149122198,0.03967666405915045,High,Medium,Low,Medium,Medium_Recovery,High_Consumption
Central African Republic,2006,0.6424793054714316,0.9335275581187942,0.8860805330243338,70552.49,499.98,29.04,47.64,26605.75,2.4,73.43,16491.9,0.0833555781663224,0.9306526403211293,0.5449928365453615,High,Medium,Medium,Medium,High_Recovery,Low_Consumption
Swaziland,2007,0.8856450635978197,0.18550448897080685,0.43482039397450756,43280.42,495.28,28.55,11.47,2137.98,12.42,11.26,55594.15,0.5438176264380218,0.6355918518005859,0.134652311658551,High,Low,Low,Medium,High_Recovery,High_Consumption
Sri Lanka,2002,0.7336563698768425,0.7383316487306023,0.24507531865585172,11306.14,472.63,48.35,45.31,49211.55,16.79,77.21,11627.65,0.0748394517839844,0.7028168039310678,0.09613567805183904,High,Medium,Low,Medium,High_Recovery,High_Consumption
Macedonia,2000,0.8279022814455888,0.2306914798739521,0.7165411355735806,79453.7,475.07,37.72,16.61,48383.61,1.75,93.61,21711.69,0.061879466076143384,0.7098761159941864,0.6407347079245871,High,Low,Medium,Medium,High_Recovery,Low_Consumption
Ukraine,2014,0.955017161316374,0.23794518104524648,0.646654113557358,55446.58,120.54,18.65,21.36,29979.43,16.44,9.13,45198.31,0.16254607900677895,0.7630516529402265,0.022911255753264765,High,Low,Medium,Medium,Low_Recovery,High_Consumption
Northern Mariana Islands,2001,0.21744397334948526,0.26154943813544207,0.8316193511008112,50964.59,177.48,2.76,13.25,41175.33,2.73,73.92,44922.7,0.028759834772667504,0.4097400050753223,0.17442336585203602,Medium,Low,Medium,Medium,Medium_Recovery,Low_Consumption
Madagascar,2014,0.6110640016151828,0.2249836494440811,0.21530996523754345,66095.66,202.49,38.66,46.28,41961.9,12.1,129.99,9568.21,0.018315716943692637,0.42411239532147554,0.05474682792976415,High,Low,Low,Medium,Medium_Recovery,Medium_Consumption
Thailand,2000,0.47466182111851407,0.8372079196147214,0.07198725376593279,53856.15,77.26,16.82,19.86,37761.68,12.5,141.27,46948.03,0.005795748139099234,0.5380764528110362,0.01848275021754899,Medium,Medium,Low,Medium,Low_Recovery,High_Consumption
